Name,Partido
Sr. Leonardo Soto,PS
Sr. Renzo Trisotti,UDI
Sr. Jorge Alessandri,UDI
Sr. Boris Barrera,PC
Sr. Alejandro Bernales,LIBERAL
Sr. Jorge Brito,RD
Sr. Miguel Ángel Calisto,DC
Sr. Álvaro Carter,UDI
Sr. José Miguel Castro,RN
Sr. Andrés Celis,RN
Sra. Sofía Cid,RN
Sra. Catalina Del Real,RN
Sr. Jorge Durán,RN
Sr. Eduardo Durán,RN
Sra. Camila Flores,RN
Sr. Juan Fuenzalida,UDI
Sr. Félix González,PEV
Sra. Carmen Hertz,PC
Sr. Tomás Hirsch,IND
Sr. Diego Ibáñez,PCS
Sr. Marcos Ilabaca,PS
Sra. Pamela Jiles,PH
Sr. Harry Jürgensen,IND
Sr. Raúl Leiva,PS
Sr. Andrés Longton,RN
Sra. Carolina Marzán,PPD
Sr. Cosme Mellado,PR
Sr. Miguel Mellado,RN
Sra. Claudia Mix Jiménez,COMUNES
Sr. Cristhian Moreira,UDI
Sra. Francesca Muñoz,RN
Sra. Emilia Nuyado,PS
Sra. Erika Olivera,IND
Sra. Maite Orsini,RD
Sra. Ximena Ossandón,RN
Sra. Joanna Pérez,DC
Sra. Catalina Pérez,RD
Sr. Guillermo Ramírez,UDI
Sr. Hugo Rey,RN
Sra. Camila Rojas,COMUNES
Sr. Leonidas Romero,IND
Sr. Patricio Rosas,IND
Sr. Juan Santana,PS
Sra. Marisela Santibáñez,PC
Sr. Diego Schalper,RN
Sr. Alexis Sepúlveda Soto,PR
Sr. Raúl Soto Mardones ,PPD
Sr. Francisco Undurraga,EVOP
Sr. Cristóbal Urruticoechea,PREP
Sr. Gonzalo Winter,PCS
Sra. Gael Yeomans,PCS
Sr. Cristian Labbé,UDI
Sra. María Candelaria Acevedo,PC
Sr. Eric Aedo,DC
Sra. Yovana Ahumada,PDG
Sr. Jaime Araya,IND
Sr. Cristián Araya,PREP
Sra. Mónica Arce,IND
Sr. Roberto Arroyo,PDG
Sra. Danisa Astudillo,PS
Sra. Chiara Barchiesi,PREP
Sr. Héctor Barría,DC
Sr. Miguel Ángel Becker,RN
Sra. María Francisca Bello,PCS
Sr. Juan Carlos Beltrán,RN
Sr. Gustavo Benavente,UDI
Sr. Carlos Bianchi,IND
Sr. Fernando Bórquez,UDI
Sra. Ana María Bravo,PS
Sra. Marta Bravo,UDI
Sr. Félix Bugueño,FRVS
Sra. Mercedes Bulnes,IND
Sr. Felipe Camaño,IND
Sra. Nathalie Castillo,PC
Sr. Ricardo Cifuentes,DC
Sra. Sara Concha,PCC
Sra. María Luisa Cordero,IND
Sr. Eduardo Cornejo,UDI
Sr. Luis Alberto Cuello,PC
Sr. Gonzalo De la Carrera,IND
Sr. Tomás De Rementería,IND
Sra. Viviana Delgado,PEV
Sr. Felipe Donoso,UDI
Sra. Lorena Fries,IND
Sra. Ana María Gazmuri,IND
Sr. Andrés Giordano,IND
Sra. Marta González,IND
Sr. Mauro González,RN
Sr. Jorge Guzmán,EVOP
Sr. Juan Irarrázaval,PREP
Sr. Andrés Jouannet,IND
Sr. Johannes Kaiser,PREP
Sra. Paula Labra,IND
Sr. Tomás Lagomarsino,IND
Sr. Henry Leal,UDI
Sr. Enrique Lee,PRI
Sr. Daniel Lilayu,UDI
Sr. Luis Malla,LIBERAL
Sr. Daniel Manouchehri,PS
Sr. Cristóbal Martínez,UDI
Sr. Christian Matheson,IND
Sra. Karen Medina,PDG
Sr. José Carlos Meza,PREP
Sra. Helia Molina,PPD
Sra. Javiera Morales,PCS
Sra. Carla Morales,RN
Sr. Benjamín Moreno,PREP
Sra. Camila Musante,IND
Sra. Gloria Naveillan,IND
Sra. Ericka Ñanco,RD
Sr. Mauricio Ojeda,IND
Sr. Rubén Darío Oyarzo,PDG
Sr. Hernán Palma,IND
Sra. Marlene Pérez,IND
Sr. Víctor Alejandro Pino,PDG
Sra. Lorena Pizarro,PC
Sra. Alejandra Placencia,PC
Sr. Francisco Pulgar,IND
Sr. Matías Ramírez,PC
Sra. Marcia Raphael,RN
Sra. Marcela Riquelme,IND
Sr. Agustín Romero,PREP
Sra. Natalia Romero,IND
Sr. Jaime Sáez,RD
Sr. Jorge Saffirio,DC
Sra. Clara Sagardia,IND
Sr. Luis Sánchez,PREP
Sra. Emilia Schneider,COMUNES
Sr. Stephan Schubert,IND
Sra. Daniela Serrano,PC
Sr. Marco Antonio Sulantay,UDI
Sr. Cristián Tapia,IND
Sr. Hotuiti Teao,IND
Sra. Carolina Tello,PC
Sr. Héctor Ulloa,IND
Sr. Alberto Undurraga,DC
Sra. Consuelo Veloso,RD
Sr. Nelson Venegas,PS
Sr. Sebastián Videla,IND
Sra. Flor Weisse,UDI
Sr. Jaime Naranjo,PS
Sr. René Alinco,IND
Sr. Sergio Bobadilla,UDI
Sr. Jaime Mulet,FRVS
Sr. Gastón Von Mühlenbrock,UDI
Sr. Gaspar Rivas,PDG
Sr. Frank Sauerbaum,RN
Sr. Bernardo Berger,IND
Sra. Karol Cariola,PC
Sra. Daniella Cicardini,PS
Sr. Juan Antonio Coloma,UDI
Sr. Joaquín Lavín,UDI
Sr. Daniel Melo,PS
Sr. Vlado Mirosevic,LIBERAL
Sr. Jorge Rathgeb,RN
