Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sr. Leonardo Soto,PS,,37521,90658,1690664,0,0,957000,100931,170170,243510,0,0,0,0,0,0,0,0,0,0,500000,11050
Sr. Renzo Trisotti,UDI,,0,121001,2412367,499800,0,800000,43550,0,153388,277080,0,0,0,0,0,0,0,0,0,499000,0
Sr. Jorge Alessandri,UDI,,20878,108737,2764685,0,0,480000,214109,673322,5573,174037,79772,0,0,0,0,15162,0,0,0,500000,0
Sr. Boris Barrera,PC,,0,168610,887966,0,0,700000,0,149990,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Alejandro Bernales,LIBERAL,,0,73231,1883404,0,0,958644,64890,3654432,23570,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Brito,RD,,1279842,127628,679883,875588,0,350000,6410,708423,0,0,0,0,0,0,0,82398,0,0,0,500000,0
Sr. Miguel Ángel Calisto,DC,,1376245,241869,2215765,1497532,0,0,0,0,0,6470,0,0,0,0,0,80000,0,0,0,500000,0
Sr. Álvaro Carter,UDI,,12871,659559,891175,0,0,800000,86376,0,881059,2250000,80000,0,0,0,0,0,0,0,0,31216,0
Sr. José Miguel Castro,RN,,0,526718,2640969,75002,0,528710,63740,349990,11342,0,0,0,0,0,0,0,0,0,0,500000,18444
Sr. Andrés Celis,RN,,1648764,302505,1862291,450000,0,0,0,0,75509,0,0,0,0,0,0,407841,0,0,0,500000,0
Sra. Sofía Cid,RN,,0,876941,2425221,1028979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Catalina Del Real,RN,,202140,192632,2227455,0,2975000,0,0,0,18594,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Durán,RN,,2182006,352969,1319715,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eduardo Durán,RN,,977585,573561,1397307,0,0,861111,0,0,47366,7648,250000,0,0,0,0,0,0,0,0,500000,0
Sra. Camila Flores,RN,,2283000,881222,1203174,802300,0,0,0,0,37900,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Fuenzalida,UDI,,400000,165627,1614521,1215000,0,0,0,0,28448,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Félix González,PEV,,25637,129007,1096522,0,0,1200000,95865,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carmen Hertz,PC,,489563,406710,826405,0,0,650000,22857,332980,51500,0,100000,0,0,0,0,0,0,0,0,500000,0
Sr. Tomás Hirsch,IND,,2129812,177609,1480926,241175,0,1650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Diego Ibáñez,PCS,,2380783,169224,739493,0,0,970000,49460,0,8980,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Marcos Ilabaca,PS,,452957,173569,2374195,1398617,7600,1111929,21400,839980,0,39620,0,0,0,0,0,0,0,0,0,500000,0
Sra. Pamela Jiles,PH,,2129454,963029,1323936,0,0,600000,13745,0,0,6111,0,0,0,0,0,0,0,0,0,0,0
Sr. Harry Jürgensen,IND,,793613,274946,1626638,0,0,1368681,112552,0,40778,21457,0,0,0,0,0,0,0,0,0,500000,0
Sr. Raúl Leiva,PS,,439447,155630,1360572,0,0,798880,51644,459980,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Longton,RN,,2402230,147289,888277,850000,569800,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carolina Marzán,PPD,,2411962,141950,499325,200000,0,0,0,0,0,9403,0,0,0,0,0,0,0,0,0,500000,0
